English	Myanmar	Category	Notes	Update	Unnamed: 5	Unnamed: 6
Pamphlet	လက်ကမ်းစာစောင်	Education	Informational brochure			
Partner organization	မိတ်ဖက်အဖွဲ့အစည်း	Organization	Collaborating entity			
Prescribed medication	သတ်မှတ်ထားသောဆေးဝါးများ	Treatment	Ordered medicine			
Presumptive TB	သံသယတီဘီလူနာ	Diagnosis	Suspected TB case			
Prevalence survey	တီဘီဖြစ်ပွားမှုစစ်တမ်း	Epidemiology	Disease prevalence study			
Prevention of transmission	ကူးစက်မှု ကာကွယ်ခြင်း	Prevention	Stopping spread			
Prison	အကျဉ်းထောင် / ထောင်	Location	Correctional facility			
Prison doctor	ထောင်ဆရာဝန်	Personnel	Prison physician			
Private sector	ပုဂ္ဂလိကကဏ္ဍ	Healthcare System	Private healthcare			
Public knowledge	ပြည်သူလူထု အသိပညာ	Education	Community awareness			
Public participation	ပြည်သူလူထု ပူးပေါင်းပါဝင်လှုပ်ရှားမှု	Public Health	Community involvement			
Quarterly reporting	သုံးလတစ်ကြိမ် အစီရင်ခံစာပို့ခြင်း	Reporting	Three-month report			
Radio	ရေဒီယို	Education	Radio broadcast			
Record keeper	မှတ်တမ်းတင်သူ	Personnel	Record keeper			
Record keeping	မှတ်တမ်းတင်ခြင်း	Documentation	Maintaining records			
Refer for testing	စစ်ဆေးရန် ညွှန်ကြား	Diagnosis	Send for examination			
Remote area	ဝေးလံခက်ခဲသောဒေသ	Location	Distant region			
Research agenda	သုတေသန အစီအစဉ်	Research	Research plan			
Research paper	သုတေသနစာတမ်း	Research	Research publication			
Respectful attitude	လေးစားမှုထားသောအမူအရာ	Behavior	Courteous manner	လေးစားမှုထားသောအမူအရာ		
Rifampicin resistance	Rifampicin ဆေးယဉ်ပါးမှု	Resistance	RIF resistance			
Risk stratification	အလားအလာအလိုက် ခွဲခြားခြင်း	Epidemiology	Risk categorization			
SDG (Sustainable Development Goals)	SDG (စဉ်ဆက်မပြတ်ဖွံ့ဖြိုးတိုးတက်မှု ပန်းတိုင်များ)	Goals	UN development goals			
Screening questions	မေးမြန်းစစ်ဆေးခြင်း	Diagnosis	Assessment questions			
Slum	ဆင်ခြေဖုံး	Location	Urban poor area			
SORT IT course	SORT IT သင်တန်း	Training	Operational research training			
Sputum collection	သလိပ်စုဆောင်းခြင်း	Diagnosis	Sputum gathering			
Sputum collection centre	သလိပ်စုဆောင်းသည့် နေရာ	Facility	Sputum collection point			
Sputum examination	သလိပ် စစ်ဆေးခြင်း	Diagnosis	Sputum testing			
Sputum sample	သလိပ်နမူနာ	Diagnosis	Sputum specimen			
Sputum transport	သလိပ်ပေးပို့ခြင်း	Logistics	Sample transportation			
Stop TB Strategy	Stop TB Strategy	Strategy	WHO TB strategy 2007			
Subsequent	နောက်ဆက်တွဲ	Sequence	Following or later			
Supervision	စီစစ်ကြီးကြပ်ခြင်း	Monitoring	Oversight			
Symptomatic contacts	ရောဂါလက္ခဏာရှိသော အတူနေသူများ	Contact Management	Contacts with symptoms			
Systematic medication	စနစ်တကျ ဆေးသောက်ခြင်း	Treatment	Regular medication			
Systematic treatment	စနစ်တကျ ဆေးကုသခြင်း	Treatment	Organized treatment			
Tablet	Tablet	Equipment	Electronic device			
TB awareness	တီဘီအကြောင်းအသိပညာ	Education	TB knowledge			
TB bacilli	တီဘီပိုး	Microbiology	TB bacteria			
TB Research Agenda	တီဘီသုတေသန အစီအစဉ်	Research	TB research plan	တီဘီသုတေသန အစီအစဉ်		
TB symptoms	တီဘီလက္ခဏာများ	Symptom	Tuberculosis symptoms			
Township hospital	မြို့နယ်ဆေးရုံ	Facility	District hospital			
Training	သင်တန်းပို့ချခြင်း	Education	Skill development			
Treatment stage	ရောဂါကုထုံးအဆင့်	Treatment	Phase of therapy			
TV	ရုပ်မြင်သံကြား	Education	Television			
Under the same roof	တစ်မိုးအောက်၌	Location	Same household			
Video	ဗွီဒီယိုခွေ	Education	Video content			
Village	ရပ်ရွာ	Location	Rural settlement			
Voluntary screening	ဆန္ဒအလျောက် စစ်ဆေးခြင်း	Diagnosis	Willingness to test			
Volunteer	စေတနာ့ဝန်ထမ်း	Personnel	Unpaid helper			
Volunteer health worker	စေတနာ့ဝန်ထမ်းကျန်းမာရေးလုပ်သား	Personnel	Community health volunteer			
Web page	ဝက်ဆိုဒ်စာမျက်နှာ	Education	Website	ဝက်ဆိုဒ်စာမျက်နှာ		
Workplace	လုပ်ငန်းခွင်	Location	Work environment			
X-ray technician	ဓါတ်မှန်ကျွမ်းကျင်	Personnel	Radiography specialist			

BPaLM regimen	BPaLM ကုထုံး	Treatment	Bedaquiline-Pretomanid-Linezolid-Moxifloxacin			
BPaLC regimen	BPaLC ကုထုံး	Treatment	Bedaquiline-Pretomanid-Linezolid-Clofazimine			
Clofazimine	ကလိုဖာဇီမင်းဆေးဝါး	Drugs	Second-line TB drug			
Cfz (Clofazimine)	Cfz (ကလိုဖာဇီမင်းဆေးဝါး)	Drugs	Second-line TB drug abbreviation			
Pre-XDR-TB	ဆေးကြိုတင်ကာကွယ်မှုမအောင်မြင်သော XDR-TB	Diagnosis	Precursor to extensively drug-resistant TB			
ATP synthase inhibitor	ATP synthase တားဆီးနိုင်သောဆေးဝါး	Pharmacology	Mechanism of bedaquiline			
Cell wall biosynthesis	ဆဲလ်နံရံ ဇီဝထုတ်လုပ်မှု	Pharmacology	Target of pretomanid			
Topoisomerase inhibitor	တိုပိုအိုင်ဆိုမာရေ့စ် တားဆီးနိုင်သောဆေးဝါး	Pharmacology	Mechanism of fluoroquinolones			
Optic neuritis	မျက်လုံးအာရုံကြောရောင်ရမ်းခြင်း	Side Effects	Linezolid eye side effect			
Myelosuppression		ရိုးတွင်းခြင်ဆီဖိနှိပ်ခံရမှု	Side Effects	Bone marrow suppression			
QTcF	QTcF (Fridericia ပြင်ဆင်သော QT ကြာချိန်)	Monitoring	Fridericia-corrected QT interval			
QT prolongation	QT ကြာရှည်ဆန့်ထွက်မှု	Side Effects	Cardiac interval prolongation			
Torsades de Pointes	Torsades de Pointes (နှလုံးခုန်နှုန်း ပုံမမှန်ရောဂါ)	Side Effects	Life-threatening cardiac arrhythmia			
Serotonin syndrome	ဆယ်ရိုတိုနင် ဆင်ဒရုမ်း	Side Effects	Dangerous serotonin excess			
CYP450 induction	CYP450 ဓာတ်ပြုမှုမြှင့်တင်ခြင်း	Pharmacology	Liver enzyme induction reducing drug levels			
Dolutegravir	ဒိုလူတီဂရာဗီးယားဆေးဝါး	Drugs	Preferred HIV integrase inhibitor with TB drugs			
DTG (Dolutegravir)	DTG (ဒိုလူတီဂရာဗီးယားဆေးဝါး)	Drugs	ART drug abbreviation			
Efavirenz	အီဖာဗီရင်ဇ်ဆေးဝါး	Drugs	NNRTI with CYP450 induction			
EFV (Efavirenz)	EFV (အီဖာဗီရင်ဇ်ဆေးဝါး)	Drugs	ART drug abbreviation			
Zidovudine	ဇီဒိုဗျူဒင်ဆေးဝါး	Drugs	NRTI avoided with linezolid			
PHQ-9	PHQ-9 (စိတ်ကျရောဂါစစ်ဆေးနိုင်သောကိရိယာ)	Screening	Patient Health Questionnaire-9 depression tool			
Depression screening	စိတ်ကျရောဂါ စစ်ဆေးခြင်း	Mental Health	Mandatory PHQ-9 at treatment start			
Citalopram	ဆိုင်တာလိုပရမ်ဆေးဝါး	Drugs	SSRI antidepressant; QT monitoring required			
Sertraline	ဆာထရာလင်းဆေးဝါး	Drugs	SSRI safe with Mfx/Bdq/Dlm			
Mirtazapine	မာတာဇာပင်းဆေးဝါး	Drugs	NaSSA antidepressant safe with Lzd/Bdq/Dlm			
SSRI	SSRI (ဆီရိုတိုနင် ပြန်လည်စုပ်ယူမှုကို ပိတ်ဆို့သောဆေး)	Drugs	Selective serotonin reuptake inhibitor class			
Antidepressant	စိတ်ကျဆန့်ကျင် ဆေးဝါး	Drugs	Medication for depression			
Peer support	အချင်းချင်း ပံ့ပိုးမှု	Patient Education	Support from fellow patients			
Psychosis	စိတ်ဝေဒနာ	Mental Health	Severe mental disorder			
Anxiety disorder	စိုးရိမ်ပူပန်မှုရောဂါ	Mental Health	Anxiety mental health condition			
FEFO	FEFO (ကုန်ဆုံးသက်တမ်းနီးသောဆေးကိုဦးစွာသုံးစွဲခြင်း)	Drug Management	First-Expired-First-Out principle			
Stock book	ဆေးဝါးမှတ်တမ်းစာအုပ်	Drug Management	Inventory record book			
Delivery note	ပို့ဆောင်မှတ်တမ်းလက်ခံစာ	Drug Management	Shipment documentation			
Shelf life	ဆေးသက်တမ်းကာလ	Drug Management	Remaining usability period of medicines			
Disqualified medicines	အရည်အသွေးမမှီသောဆေးဝါးများ	Drug Management	Substandard or expired drugs			
Cold chain	အအေးသိုလှောင်ကွင်းဆက်	Drug Management	Temperature-controlled medicine supply			
Thermometer	အပူချိန်တိုင်းကိရိယာ	Equipment	Temperature measuring device			
Humidity	စိုထိုင်းဆ	Drug Management	Moisture level in storage area			
Fire extinguisher	မီးသတ်ဆေးဘူး	Safety	Fire safety equipment			
Quarantine area	သီးခြားနေရာချထားသောနေရာ	Drug Management	Isolation area for substandard stock			
Weight band dosing	ကိုယ်အလေးချိန်အပိုင်းအခြားအလိုက် ဆေးပမာဏသတ်မှတ်ခြင်း	Pediatrics	Dose determination by weight category			
CALHIV	CALHIV (HIV ကူးစက်ခံသောကလေးနှင့်ဆယ်ကျော်သက်များ)	Demographics	Children and adolescents living with HIV			
Age-appropriate dosing	အသက်အလိုက် သင့်တော်သောဆေးပမာဏ	Pediatrics	Dosing adjusted for age group			
Hr-TB	Hr-TB (ရိုင်ဖမ်ပီဆင်ဆေးဝါးထိရောက်ပြီး အိုင်ဆိုနိုင်ယာဇစ်ဆေးယဉ်ပါးတီဘီ)	Diagnosis	Rifampicin-susceptible, isoniazid-resistant TB			
Isoniazid resistance	အိုင်ဆိုနိုင်ယာဇစ်ဆေးယဉ်ပါးမှု	Resistance	Resistance to isoniazid			
LFU (Lost to Follow-Up)	LFU (နောက်ထပ်စစ်ဆေးမှုများအတွက် လူနာမရှိခြင်း)	Treatment Outcome	Patient not returning for follow-up			
Group A drugs	အုပ်စု A ဆေးဝါးများ	Drugs	Priority MDR-TB drugs: Lfx/Mfx, Bdq, Lzd			
Group B drugs	အုပ်စု B ဆေးဝါးများ	Drugs	Add-on MDR-TB drugs: Cfz, Cs/Trd			
Group C drugs	အုပ်စု C ဆေးဝါးများ	Drugs	Backup MDR-TB drugs: E, Dlm, Z, Ipm, Am, Eto/Pto			
Stepwise regimen design	အဆင့်ဆင့် ကုထုံးဒီဇိုင်းဆွဲခြင်း	Treatment	Sequential drug selection for longer MDR-TB regimen
