id	instruction_en	instruction_my	response_en	response_my	category	source	guideline_version	notes
TB-MTB-050	How could restoring macrophage apoptosis help TB treatment (as described)?	Macrophage apoptosis ကို ပြန်လည်လုပ်ဆောင်နိုင်အောင်လုပ်ခြင်းက TB treatment ကို ဘယ်လိုကူညီနိုင်မလဲ။	Restoring apoptosis could reduce the safe niche for bacteria and improve drug access, potentially shortening treatment time.	Apoptosis ပြန်လည်ဖြစ်စေခြင်းဖြင့် ပိုးအတွက် safe niche လျော့စေပြီး ဆေးများရောက်နိုင်မှု တိုးစေကာ ကုသချိန် လျော့နိုင်သည်ဟု ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	Apoptosis as strategy
TB-MTB-051	What are common TB symptoms mentioned in the text?	စာတွင် ဖော်ပြထားသော TB လက္ခဏာများက ဘာတွေပါလဲ။	Symptoms include cough >3 weeks, hemoptysis, chest pain, weight loss, fatigue, fever, night sweats, chills, and loss of appetite.	ချောင်းဆိုးခြင်း (၃ပတ်ကျော်)၊ ချောင်းဆိုးသွေးပါခြင်း၊ ရင်ဘတ်နာ/အောင့်ခြင်း၊ ကိုယ်အလေးချိန်ကျခြင်း၊ ပင်ပန်းနွမ်းနယ်ခြင်း၊ ဖျားခြင်း၊ ညဘက်ချွေးထွက်ခြင်း၊ ချမ်းစိမ့်ခြင်း၊ အစာမစားချင်ခြင်း တို့ဖြစ်ပါသည်။	Patient education	Wikipedia	2026	Symptoms list
TB-MTB-052	What symptom suggests kidney involvement in TB (as mentioned)?	TB က ကျောက်ကပ်ထိခိုက်ရင် ဘယ်လက္ခဏာတွေ့နိုင်တယ်လို့ ဖော်ပြထားပါသလဲ။	The text mentions blood in urine if the kidneys are affected.	ကျောက်ကပ်ထိခိုက်ပါက ဆီးတွင် သွေးပါခြင်းကို ဖော်ပြထားပါသည်။	Patient education	Wikipedia	2026	Kidney involvement sign
TB-MTB-053	What symptom suggests spinal involvement in TB (as mentioned)?	TB က ကျောရိုး/အရိုးထိခိုက်ရင် ဘယ်လက္ခဏာတွေ့နိုင်တယ်လို့ ဖော်ပြထားပါသလဲ။	The text mentions back pain if the spine is affected.	ကျောရိုးထိခိုက်ပါက ကျောနာခြင်းကို ဖော်ပြထားပါသည်။	Patient education	Wikipedia	2026	Spine involvement sign
TB-MTB-054	Why is strain typing useful in TB outbreak investigations?	TB outbreak စုံစမ်းရာမှာ strain typing က ဘာကြောင့် အသုံးဝင်ပါသလဲ။	It helps assess whether transmission between people is likely by comparing whether isolates are the same strain.	လူနှစ်ဦးမှ ခွဲထုတ်ထားသော ပိုး strain တူ/မတူကို နှိုင်းယှဉ်ခြင်းဖြင့် ကူးစက်ဆက်နွယ်မှု ရှိ/မရှိကို အထောက်အကူပြုစုံစမ်းနိုင်ပါသည်။	Healthcare worker training	Wikipedia	2026	Typing usefulness
TB-MTB-055	If two patients have different M. tuberculosis strain types, what does it suggest?	လူနာနှစ်ဦးမှာ strain type မတူရင် ဘာကိုညွှန်းနိုင်ပါသလဲ။	Different strain types can definitively disprove direct transmission from one to the other in that scenario.	strain type မတူပါက အဆိုပါအခြေအနေတွင် တစ်ယောက်က တစ်ယောက်ကို တိုက်ရိုက်ကူးစက်ခဲ့သည်ဆိုတာကို ပယ်နိုင်ပါသည်။	Healthcare worker training	Wikipedia	2026	Typing interpretation (different)
TB-MTB-056	If two patients have the same strain, does it prove transmission?	လူနာနှစ်ဦးမှာ strain တူရင် ကူးစက်မှုကို သေချာအတည်ပြုနိုင်ပါသလား။	Same strain supports the hypothesis of transmission but does not definitively prove it.	strain တူခြင်းသည် ကူးစက်မှုဖြစ်နိုင်ကြောင်း အထောက်အပံ့ပေးသော်လည်း အတည်ပြုသက်သေတိတိ မဖြစ်ပါ။	Healthcare worker training	Wikipedia	2026	Typing interpretation (same)
TB-MTB-057	What method was used to type M. tuberculosis strains before the early 2000s (as mentioned)?	၂၀၀၀ ခုနှစ်အစောပိုင်းမတိုင်ခင် strain typing အတွက် ဘာနည်းလမ်းကို အသုံးပြုခဲ့ကြတယ်လို့ ဖော်ပြထားပါသလဲ။	The text mentions pulsed-field gel electrophoresis (PFGE).	pulsed-field gel electrophoresis (PFGE) ကို အသုံးပြုခဲ့သည်ဟု ဖော်ပြထားပါသည်။	Diagnostic protocols	Wikipedia	2026	PFGE mention
TB-MTB-058	What method superseded PFGE for M. tuberculosis typing (as mentioned)?	PFGE ကို အစားထိုးလာတဲ့ typing နည်းလမ်းက ဘာလဲ။	The text mentions VNTR (variable number of tandem repeats) typing.	VNTR (variable number of tandem repeats) typing ကို အစားထိုးအသုံးပြုလာသည်ဟု ဖော်ပြထားပါသည်။	Diagnostic protocols	Wikipedia	2026	VNTR typing
TB-MTB-059	What is VNTR typing based on?	VNTR typing က ဘာကိုအခြေခံပြီး ခွဲခြားတာလဲ။	It uses repeated DNA sequences (tandem repeats) at multiple loci in the genome.	Genome အတွင်းရှိ ထပ်တလဲလဲ DNA sequence (tandem repeats) များကို loci အမျိုးမျိုးတွင် စစ်ဆေး၍ ခွဲခြားပါသည်။	Diagnostic protocols	Wikipedia	2026	VNTR basis
TB-MTB-060	What is MIRU-VNTR (as referenced in the text)?	MIRU-VNTR ဆိုတာ ဘာလဲ။	It refers to a VNTR-based typing scheme using mycobacterial interspersed repetitive units for strain discrimination.	mycobacterial interspersed repetitive unit (MIRU) များကို အသုံးပြုသော VNTR-based typing scheme တစ်ခုဖြစ်ပြီး strain ခွဲခြားရန် အသုံးပြုပါသည်။	Diagnostic protocols	Wikipedia	2026	MIRU-VNTR concept
TB-MTB-061	How many loci are used in the standard MIRU-VNTR scheme mentioned?	ဖော်ပြထားတဲ့ standard MIRU-VNTR scheme မှာ loci ဘယ်လောက်အသုံးပြုပါသလဲ။	The text mentions a third-generation scheme totaling 24 loci.	တတိယမျိုးဆက် scheme တွင် loci စုစုပေါင်း ၂၄ ခု အသုံးပြုသည်ဟု ဖော်ပြထားပါသည်။	Diagnostic protocols	Wikipedia	2026	24 loci scheme
TB-MTB-062	What does MDR-TB mean in terms of drug resistance?	MDR-TB ဆိုတာ ဆေးယဉ်ပါးမှုအရ ဘာကိုဆိုလိုပါသလဲ။	MDR-TB means resistance to at least rifampicin and isoniazid.	MDR-TB ဆိုသည်မှာ rifampicin နှင့် isoniazid ဆေးများကို အနည်းဆုံး ယဉ်ပါးမှုရှိခြင်းကို ဆိုလိုပါသည်။	Drug-resistant TB (MDR-TB)	Wikipedia	2026	MDR definition
TB-MTB-063	What does XDR-TB mean in terms of drug resistance (as described)?	XDR-TB ဆိုတာ ဆေးယဉ်ပါးမှုအရ ဘာကိုဆိုလိုပါသလဲ (ဖော်ပြချက်အရ)။	XDR-TB is resistance to isoniazid and rifampin plus any fluoroquinolone and at least one second-line injectable (amikacin, kanamycin, or capreomycin).	XDR-TB ဆိုသည်မှာ isoniazid နှင့် rifampin ကို ယဉ်ပါးပြီး ထို့အပြင် fluoroquinolone မျိုးစိတ်တစ်မျိုးနှင့် second-line injectable (amikacin/kanamycin/capreomycin) များထဲမှ အနည်းဆုံးတစ်မျိုးကိုပါ ယဉ်ပါးခြင်းဖြစ်ပါသည်။	Drug-resistant TB (MDR-TB)	Wikipedia	2026	XDR definition
TB-MTB-064	How does antibiotic resistance typically arise in M. tuberculosis?	M. tuberculosis မှာ antibiotic resistance က အများအားဖြင့် ဘယ်လိုဖြစ်လာပါသလဲ။	It typically arises through accumulation of mutations in drug-target genes or changes affecting drug levels/effects.	ဆေးပစ်မှတ် gene များတွင် mutation များ စုပုံလာခြင်း သို့မဟုတ် ဆေး၏ အကျိုးသက်ရောက်မှု/အဆင့်ကို ပြောင်းလဲစေသော ပြောင်းလဲမှုများကြောင့် အများအားဖြင့် ဖြစ်လာပါသည်။	Treatment guidelines	Wikipedia	2026	Resistance mechanism (general)
TB-MTB-065	What is the name of the commonly referenced M. tuberculosis genome strain in the text?	စာတွင် ဖော်ပြထားသော genome ကိုအများဆုံးရည်ညွှန်းတဲ့ strain အမည်က ဘာလဲ။	The text references the H37Rv strain genome.	H37Rv strain genome ကို ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	H37Rv reference
TB-MTB-066	What is the approximate genome size of M. tuberculosis H37Rv?	M. tuberculosis H37Rv genome အရွယ်အစားက အကြမ်းဖျဉ်းဘယ်လောက်လဲ။	The text states about 4 million base pairs.	အကြမ်းဖျဉ်း 4 million base pairs ခန့်ဟု ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	Genome size
TB-MTB-067	About how many genes are mentioned for the H37Rv genome?	H37Rv genome အတွက် gene အရေအတွက် ဘယ်လောက်လို့ ဖော်ပြထားပါသလဲ။	The text mentions 3,959 genes.	3,959 genes ရှိသည်ဟု ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	Gene count
TB-MTB-068	What fraction of M. tuberculosis coding capacity is taken up by PE/PPE gene families (as mentioned)?	PE/PPE gene families က coding capacity ရဲ့ ဘယ်လောက်ရာခိုင်နှုန်းလောက်ကို ယူထားတယ်လို့ ဖော်ပြထားပါသလဲ။	The text mentions about 10% of coding capacity.	coding capacity ၏ ၁၀% ခန့်ကို ယူထားသည်ဟု ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	PE/PPE proportion
TB-MTB-069	What is notable about fatty acid metabolism genes in the M. tuberculosis genome (as described)?	M. tuberculosis genome ထဲမှာ fatty acid metabolism gene တွေအကြောင်း ဘာကို ထူးခြားတယ်လို့ ဖော်ပြထားပါသလဲ။	The text notes many genes (about 250) are involved in fatty acid metabolism, supporting the importance of the lipid-rich coat.	fatty acid metabolism နဲ့ ဆက်စပ်သော gene များ (ခန့်မှန်း ၂၅၀) များစွာ ပါဝင်ပြီး lipid-rich coat ၏ အရေးပါမှုကို ထောက်ပြသည်ဟု ဖော်ပြထားပါသလဲ။	Healthcare worker training	Wikipedia	2026	Fatty acid metabolism emphasis
TB-MTB-070	What carbon source can M. tuberculosis use as the sole source (as mentioned)?	M. tuberculosis က sole carbon source အဖြစ် ဘာကို အသုံးပြုနိုင်တယ်လို့ ဖော်ပြထားပါသလဲ။	The text mentions it can grow on cholesterol as a sole carbon source.	cholesterol ကို sole carbon source အဖြစ် အသုံးပြုပြီး ကြီးထွားနိုင်သည်ဟု ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	Cholesterol as carbon source
TB-MTB-071	What is the Mycobacterium tuberculosis complex (MTBC)?	Mycobacterium tuberculosis complex (MTBC) ဆိုတာ ဘာလဲ။	MTBC is a genetically related group of Mycobacterium species that includes M. tuberculosis and several closely related members.	MTBC သည် မျိုးဗီဇအရ နီးစပ်သော Mycobacterium မျိုးစိတ်အုပ်စုဖြစ်ပြီး M. tuberculosis အပါအဝင် နီးစပ်သော မျိုးစိတ်များ ပါဝင်ပါသည်။	Healthcare worker training	Wikipedia	2026	MTBC definition
TB-MTB-072	Name two MTBC members besides M. tuberculosis.	M. tuberculosis အပြင် MTBC အဖွဲ့ဝင် ၂မျိုးကို နာမည်ပေးပါ။	Examples include M. africanum and M. bovis.	ဥပမာ M. africanum နှင့် M. bovis တို့ဖြစ်ပါသည်။	Healthcare worker training	Wikipedia	2026	MTBC examples
TB-MTB-073	Which MTBC member is commonly associated with cattle?	နွားနဲ့ ဆက်စပ်ပြီး အများအားဖြင့် ဖြစ်တဲ့  MTBC member က ဘာလဲ။	M. bovis is an MTBC member associated with cattle.	M. bovis သည် နွားနှင့် ဆက်စပ်သော MTBC member ဖြစ်ပါသည်။	Healthcare worker training	Wikipedia	2026	M. bovis mention
TB-MTB-074	Which MTBC members are listed in the text?	စာတွင် ဖော်ပြထားသော MTBC member များက ဘာတွေပါလဲ။	The text lists M. tuberculosis, M. africanum, M. canettii, M. bovis, M. caprae, M. microti, M. pinnipedii, M. mungi, and M. orygis.	M. tuberculosis, M. africanum, M. canettii, M. bovis, M. caprae, M. microti, M. pinnipedii, M. mungi, နှင့် M. orygis တို့ကို ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	List of MTBC members
TB-MTB-075	What does “clonal spread” mean for MTBC (as described)?	MTBC အကြောင်းပြောတဲ့ “clonal spread” ဆိုတာ ဘာကို ဆိုလိုပါသလဲ။	It means strains spread largely without recombination, maintaining clonal lineages.	မျိုးဗီဇပြန်လည်ပေါင်းစည်းမှု (recombination) နည်းပြီး lineages များကို clonal အဖြစ် ထိန်းထားကာ ပျံ့နှံ့ခြင်းကို ဆိုလိုပါသည်။	Healthcare worker training	Wikipedia	2026	Clonal spread idea
TB-MTB-076	Where is MTBC thought to have evolved (as mentioned)?	MTBC က ဘယ်ဒေသမှာ စတင်ကွဲပြားဖြစ်ပေါ်လာတယ်လို့ ဖော်ပြထားပါသလဲ။	The text states MTBC evolved in Africa, probably in the Horn of Africa.	အာဖရိကတွင် (အထူးသဖြင့် Horn of Africa) တွင် ဖြစ်ပေါ်လာခဲ့နိုင်သည်ဟု ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	Evolution origin
TB-MTB-077	What is M. canettii described as in relation to M. tuberculosis evolution?	M. canettii ကို M. tuberculosis ဆက်စပ်ဖြစ်ပေါ်မှုနဲ့ပတ်သက်ပြီး ဘယ်လိုဖော်ပြထားပါသလဲ။	The text describes M. canettii as a related clade and possible ancestor-like group, with recombination unlike established MTBC members.	M. canettii ကို ဆက်စပ် clade တစ်ခုအဖြစ် ဖော်ပြပြီး established MTBC member များနှင့်မတူဘဲ recombination လုပ်နိုင်ကြောင်းလည်း ဖော်ပြထားပါသည်။	Healthcare worker training	Wikipedia	2026	M. canettii clade
TB-MTB-078	What is one reason M. tuberculosis is hard to eradicate in the host?	M. tuberculosis ကို host အတွင်းက ဖယ်ရှားရန် ခက်ခဲစေတဲ့ အကြောင်းရင်းတစ်ခုက ဘာလဲ။	It can survive inside macrophages by interfering with phagosome maturation and killing mechanisms, supporting long-term persistence/latency.	macrophage အတွင်းတွင် phagosome maturation နှင့် killing mechanism များကို တားဆီးကာ ရှင်သန်နိုင်သောကြောင့် ရေရှည်တည်တံ့မှု/latent state ကို ထောက်ပံ့နိုင်ပါသည်။	Healthcare worker training	Wikipedia	2026	Persistence rationale
TB-MTB-079	What does “latent state” imply for M. tuberculosis infection?	M. tuberculosis infection မှာ “latent state” ဆိုတာ ဘာကိုဆိုလိုပါသလဲ။	It implies bacteria persist without causing active disease for a prolonged time, potentially reactivating later.	ရောဂါလက္ခဏာမပြဘဲ ပိုးသည် ရေရှည်တည်ရှိနေနိုင်ပြီး နောက်ပိုင်းတွင် ပြန်လည်တက်ကြွလာနိုင်ခြင်းကို ဆိုလိုပါသည်။	Patient education	Wikipedia	2026	Latent concept
TB-MTB-080	What is meant by “impervious to Gram staining” in this context?	ဒီစာပိုဒ်ထဲက “impervious to Gram staining” ဆိုတာ ဘာကိုဆိုလိုပါသလဲ။	It means Gram stain does not readily penetrate or color the bacteria because of the waxy, lipid-rich cell wall.	Gram stain က waxy/lipid များသော ဆဲလ်နံရံကြောင့် ပိုးထဲသို့ မလွယ်ကူစွာ ဝင်ရောက်မရောင်ဆိုးနိုင်ခြင်းကို ဆိုလိုပါသည်။	Diagnostic protocols	Wikipedia	2026	Impervious meaning
TB-MTB-081	What are two reasons M. tuberculosis colonies may take weeks to appear?	M. tuberculosis colony တွေ အပတ်များစွာကြာမှ ပေါ်လာနိုင်တဲ့ အကြောင်းရင်း ၂ခုက ဘာလဲ။	It has a slow doubling time (about once per day) and grows slowly on solid media, delaying visible colony formation.	ပိုးခွဲထွက်ပွားနှုန်း (doubling time) အလွန်နှေးကွေးပြီး solid media ပေါ်တွင် ကြီးထွားမှုနှေးသောကြောင့် colony ပေါ်လာရန် အချိန်ကြာပါသည်။	Diagnostic protocols	Wikipedia	2026	Why colonies are slow
TB-MTB-082	What is the purpose of using culture media like Lowenstein-Jensen?	Lowenstein-Jensen ကဲ့သို့ media ကို သုံးတဲ့ ရည်ရွယ်ချက်က ဘာလဲ။	To grow and isolate mycobacteria, supporting TB diagnosis and further testing.	mycobacteria ကို မွေးမြူပြီး ခွဲထုတ်နိုင်ရန် (isolate) အသုံးပြုကာ TB diagnosis နှင့် နောက်ထပ်စစ်ဆေးမှုများအတွက် အထောက်အကူပြုပါသည်။	Diagnostic protocols	Wikipedia	2026	Purpose of LJ culture
TB-MTB-083	What is one microscopy clue that suggests M. tuberculosis?	M. tuberculosis ကို ညွှန်းနိုင်တဲ့ microscopy clue တစ်ခုက ဘာလဲ။	Acid-fast bacilli with rope-like cording patterns can suggest M. tuberculosis.	acid-fast bacilli တွေကို rope-like cording ပုံစံနဲ့ တွေ့ရခြင်းသည် M. tuberculosis ကို ညွှန်းနိုင်ပါသည်။	Diagnostic protocols	Wikipedia	2026	Microscopy clue
TB-MTB-084	Why is the respiratory route emphasized for M. tuberculosis?	M. tuberculosis အတွက် respiratory route ကို ဘာကြောင့် အထူးသဖြင့် အလေးပေးပြောထားပါသလဲ။	Because it primarily spreads through airborne droplets and mainly infects the lungs.	လေမှတစ်ဆင့် droplets ဖြင့် အဓိကကူးစက်ပြီး အဆုတ်ကို အဓိကတိုက်ခိုက်သောကြောင့် ဖြစ်ပါသည်။	Patient education	Wikipedia	2026	Respiratory route emphasis
TB-MTB-085	What is the significance of high oxygen requirement for M. tuberculosis in the body?	M. tuberculosis ရဲ့ အောက်ဆီဂျင်လိုအပ်ချက်မြင့်ခြင်းက ခန္ဓာကိုယ်ထဲမှာ ဘာကိုညွှန်းနိုင်ပါသလဲ။	It aligns with infection in oxygen-rich areas like the lungs.	oxygen များသော နေရာများဖြစ်သည့် အဆုတ်တွင် အများဆုံး ဖြစ်ပွားတတ်ခြင်းနှင့် ကိုက်ညီပါသည်။	Healthcare worker training	Wikipedia	2026	Oxygen-rich lungs
TB-MTB-086	What does “caseating” mean in “caseating granuloma”?	“caseating granuloma” ထဲက “caseating” ဆိုတာ ဘာကို ဆိုလိုပါသလဲ။	It refers to granulomas with a cheese-like necrotic center.	granuloma အလယ်ပိုင်းတွင် cheese-like necrosis (caseation) ဖြစ်နေခြင်းကို ဆိုလိုပါသည်။	Healthcare worker training	Wikipedia	2026	Caseation meaning
TB-MTB-087	What is one advantage of fluorescent stains like auramine?	Auramine ကဲ့သို့ fluorescent stain များရဲ့ အားသာချက်တစ်ခုက ဘာလဲ။	They can help detect mycobacteria by fluorescence microscopy, which can be easier to screen.	fluorescence microscopy ဖြင့် mycobacteria ကို မြင်သာစွာ ဖော်ထုတ်နိုင်ပြီး screening လုပ်ရန် လွယ်ကူစေပါသည်။	Diagnostic protocols	Wikipedia	2026	Fluorescent stain advantage
TB-MTB-088	What is the “macrophage niche” in TB pathogenesis (as referenced)?	TB pathogenesis ထဲက “macrophage niche” ဆိုတာ ဘာကို ဆိုလိုပါသလဲ။	It refers to the intracellular environment inside macrophages where M. tuberculosis can persist and evade killing.	macrophage အတွင်းရှိ ပိုးအတွက် နေရပ် (intracellular environment) ကို ဆိုလိုပြီး ပိုးသည် အတွင်းတွင် ဆက်တည်တံ့ကာ သတ်ဖြတ်မှုကို လွတ်မြောက်နိုင်ပါသည်။	Healthcare worker training	Wikipedia	2026	Macrophage niche concept
TB-MTB-089	What is one reason handshakes do not spread TB (as implied)?	လက်ဆွဲခြင်းနဲ့ TB မကူးစက်ဘူးဆိုတာကို ဘာကြောင့်လဲ (စာအရ)။	TB is primarily airborne; casual surface contact like handshakes is not the main transmission route.	TB သည် လေမှတစ်ဆင့် အဓိကကူးစက်သောကြောင့် လက်ဆွဲခြင်းကဲ့သို့ surface contact များသည် အဓိကကူးစက်လမ်းကြောင်း မဟုတ်ပါ။	Patient education	Wikipedia	2026	Non-airborne misconception
TB-MTB-090	What is one reason culture remains important even with molecular tests?	Molecular test များရှိနေသော်လည်း culture က ဘာကြောင့် အရေးကြီးနေသေးပါသလဲ။	Culture can isolate live organisms for confirmation and further testing, but it is slow.	Culture သည် အသက်ရှင်သောပိုးကို ခွဲထုတ်၍ အတည်ပြုခြင်းနှင့် နောက်ထပ်စမ်းသပ်မှုများ (ဥပမာ drug testing) အတွက် အရေးကြီးသော်လည်း နှေးကွေးပါသည်။	Diagnostic protocols	Wikipedia	2026	Culture importance
TB-MTB-091	What is a limitation of M. tuberculosis culture mentioned or implied?	M. tuberculosis culture ရဲ့ အားနည်းချက်တစ်ခုက ဘာလဲ။	It has a very slow growth rate, so results can take weeks.	ကြီးထွားနှုန်းအလွန်နှေးကွေးသောကြောင့် အဖြေထွက်ရန် အပတ်များစွာ ကြာနိုင်ပါသည်။	Diagnostic protocols	Wikipedia	2026	Culture limitation
TB-MTB-092	What is meant by “weak disinfectants” in relation to M. tuberculosis survival?	M. tuberculosis survival နဲ့ ပတ်သက်ပြီး “weak disinfectants” ဆိုတာ ဘာကိုဆိုလိုပါသလဲ။	The text implies M. tuberculosis can withstand some mild/weak disinfectants, contributing to persistence.	ပိုးသတ်ဆေးအားနည်းသော အမျိုးအစားအချို့ကို ခံနိုင်ရည်ရှိပြီး ပိုးတည်တံ့နေမှုကို အထောက်အကူပြုနိုင်သည်ဟု ဆိုလိုပါသည်။	Healthcare worker training	Wikipedia	2026	Disinfectant tolerance
TB-MTB-093	What is one hallmark of TB infection at the immune level?	TB infection ၏ immune-level hallmark တစ်ခုက ဘာလဲ။	The formation of granulomas is a hallmark feature.	Granuloma ဖွဲ့စည်းခြင်းသည် hallmark feature တစ်ခုဖြစ်ပါသည်။	Healthcare worker training	Wikipedia	2026	Hallmark granuloma
TB-MTB-094	What does “highly pathogenic” imply about M. tuberculosis?	“pathogenic” ဆိုတာ M. tuberculosis အကြောင်း ဘာကိုညွှန်းပါသလဲ။	It implies the bacterium can cause disease in humans (tuberculosis).	လူတွင် ရောဂါ (တီဘီ) ကို ဖြစ်စေနိုင်သော ရောဂါပိုးဖြစ်ကြောင်းကို ဆိုလိုပါသည်။	Patient education	Wikipedia	2026	Pathogenic meaning
TB-MTB-095	What are two key first-line drugs mentioned in resistance definitions?	ဆေးယဉ်ပါးမှု သတ်မှတ်ချက်ထဲမှာ ဖော်ပြထားတဲ့ အရေးကြီး first-line ဆေး ၂မျိုးက ဘာလဲ။	Rifampicin and isoniazid are specifically mentioned.	Rifampicin နှင့် isoniazid ကို အထူးဖော်ပြထားပါသည်။	Drug-resistant TB (MDR-TB)	Wikipedia	2026	Key MDR drugs
TB-MTB-096	Why is MDR-TB clinically important (based on the definitions)?	MDR-TB က ဆေးကုသမှုအရ ဘာကြောင့် အရေးကြီးပါသလဲ (သတ်မှတ်ချက်အပေါ်မူတည်၍)။	Because it involves resistance to the most important core TB drugs, making treatment more difficult.	အရေးကြီးသော အခြေခံ TB ဆေးများကို ယဉ်ပါးခြင်း ပါဝင်သောကြောင့် ကုသမှု ပိုခက်ခဲလာနိုင်ပါသည်။	Treatment guidelines	Wikipedia	2026	MDR importance
TB-MTB-097	What is one reason TB can become drug-resistant (general concept)?	TB ဆေးယဉ်ပါးလာနိုင်တဲ့ အကြောင်းရင်းတစ်ခုကို (အထွေထွေ) ပြောပါ။	Drug resistance can arise when mutations accumulate in genes targeted by antibiotics.	antibiotic ပစ်မှတ် gene များတွင် mutation များ စုပုံလာသည့်အခါ ဆေးယဉ်ပါးမှု ဖြစ်လာနိုင်ပါသည်။	Drug-resistant TB (MDR-TB)	Wikipedia	2026	Mutation-based resistance
TB-MTB-098	What does the text imply about the importance of lipid metabolism for M. tuberculosis?	M. tuberculosis အတွက် lipid metabolism အရေးကြီးမှုကို စာက ဘာကိုညွှန်းပါသလဲ။	It suggests lipid metabolism is central for survival and infection, including using host-derived lipids and cholesterol.	host မှလာသော lipid များနှင့် cholesterol ကို အသုံးပြုနိုင်ခြင်းအပါအဝင် lipid metabolism သည် ပိုးရှင်သန်မှုနှင့် infection lifecycle အတွက် အရေးကြီးကြောင်း ညွှန်းပါသည်။	Healthcare worker training	Wikipedia	2026	Lipid metabolism importance
TB-MTB-099	What is one laboratory method mentioned to confirm M. tuberculosis identity besides staining?	Stain လုပ်ခြင်းအပြင် M. tuberculosis ကို အတည်ပြုဖို့ ဖော်ပြထားတဲ့ lab method တစ်ခုက ဘာလဲ။	Gene probes or MALDI-TOF can be used to confirm identity.	gene probes သို့မဟုတ် MALDI-TOF ကို အသုံးပြုပြီး အတည်ပြုနိုင်ပါသည်။	Diagnostic protocols	Wikipedia	2026	Confirmatory methods
TB-MTB-100	Why is M. tuberculosis described as “small bacillus” and what is its relevance?	M. tuberculosis ကို “small bacillus” လို့ဖော်ပြတာက ဘာကိုညွှန်းပြီး ဘာကြောင့်အရေးကြီးပါသလဲ။	It indicates it is a rod-shaped bacterium of small size; combined with slow growth and a waxy wall, it influences detection and culture time.	တံတားပုံစံ bacillus ဖြစ်ပြီး အရွယ်အစားသေးငယ်ကြောင်း ညွှန်းပါသည်။ ထို့အပြင် ကြီးထွားနှေးခြင်းနှင့် waxy ဆဲလ်နံရံရှိခြင်းတို့ကြောင့် microscopy နှင့် culture အချိန်ကြာမှုများကို သက်ရောက်စေနိုင်ပါသည်။	Healthcare worker training	Wikipedia	2026	Summary relevance
TB-ABB-001	What does ADR stand for in tuberculosis treatment context?	တီဘီကုသမှုတွင် ADR ဆိုသည်မှာ အဘယ်နည်း။	ADR stands for Adverse Drug Reaction, referring to unwanted or harmful reactions that occur after administration of TB medications.	ADR ဆိုသည်မှာ Adverse Drug Reaction ဖြစ်ပြီး တီဘီဆေးများသောက်သုံးပြီးနောက် ဖြစ်ပေါ်လာသော မလိုလားအပ်သော သို့မဟုတ် အန္တရာယ်ရှိသော တုံ့ပြန်မှုများကို ဆိုလိုပါသည်။	Healthcare worker training	Myanmar NTP	2017	Also referred to as AR (Adverse Reaction)
TB-ABB-002	What is the full form of AR in TB drug management?	တီဘီဆေးစီမံခန့်ခွဲမှုတွင် AR ၏ အပြည့်အစုံအဓိပ္ပါယ်မှာ အဘယ်နည်း။	AR stands for Adverse Reaction, which refers to undesirable responses to tuberculosis medications including side effects and toxicity.	AR ဆိုသည်မှာ Adverse Reaction ဖြစ်ပြီး တီဘီဆေးများအပေါ် မလိုလားအပ်သော တုံ့ပြန်မှုများ၊ ဘေးထွက်ဆိုးကျိုးများနှင့် အဆိပ်သင့်မှုများကို ရည်ညွှန်းပါသည်။	Drug management	Myanmar NTP	2017	Synonymous with ADR
TB-ABB-003	Explain what aDSM means in tuberculosis care.	တီဘီစောင့်ရှောက်မှုတွင် aDSM ၏ အဓိပ္ပါယ်ကို ရှင်းပြပါ။	aDSM stands for Active TB Drug-safety Monitoring and Management, a systematic approach to actively monitor and manage the safety of anti-TB medications to ensure safe use.	aDSM ဆိုသည်မှာ Active TB Drug-safety Monitoring and Management ဖြစ်ပြီး တီဘီဆေးများကို အန္တရာယ်ကင်းစွာ အသုံးပြုနိုင်ရန် တက်ကြွစွာ စောင့်ကြည့်ပြီး စီမံခန့်ခွဲသော စနစ်တကျချဉ်းကပ်မှုတစ်ခု ဖြစ်ပါသည်။	Drug management	Myanmar NTP	2017	Critical for DR-TB treatment safety
